Otu,Phylum.consensus,Class.consensus,Order.consensus,Family.consensus,Genus.consensus,Phylum-TBAS,Class-TBAS,Order-TBAS,Family-TBAS,Genus-TBAS,Trophic mode,Guild,Phylum.unite,Class.unite,Order.unite,Family.unite,Genus.unite,confidence.unite,Phylum.ncbi,Class.ncbi,Order.ncbi,Family.ncbi,Genus.ncbi
Otu1356,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Pathotroph,Plant Pathogen,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,0.22,Ascomycota,Eurotiomycetes,Eurotiales,NA,NA
Otu1575,Ascomycota,Eurotiomycetes,Eurotiales,NA,NA,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Talaromyces,Pathotroph,Animal Pathogen,NA,NA,NA,NA,NA,0.05,Ascomycota,Eurotiomycetes,Eurotiales,NA,NA
Otu1817,Ascomycota,Eurotiomycetes,Eurotiales,NA,NA,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Pathotroph,Animal Pathogen,NA,NA,NA,NA,NA,0,Ascomycota,Eurotiomycetes,Eurotiales,NA,NA
Otu2093,Ascomycota,Eurotiomycetes,Eurotiales,NA,NA,Ascomycota,Eurotiomycetes,Eurotiales,Thermoascaceae,Thermoascus,Saprotroph,Undefined Saprotroph,Ascomycota,NA,NA,NA,NA,0.24,Ascomycota,Eurotiomycetes,Eurotiales,NA,NA
Otu2334,Ascomycota,Eurotiomycetes,Eurotiales,NA,NA,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Talaromyces,Saprotroph,Undefined Saprotroph,Ascomycota,Eurotiomycetes,Eurotiales,NA,NA,0.01,Ascomycota,Eurotiomycetes,Eurotiales,NA,NA
Otu2411,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Pathotroph,Plant Pathogen,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,0.35,Ascomycota,Eurotiomycetes,Eurotiales,NA,NA
Otu3080,Ascomycota,Eurotiomycetes,Eurotiales,NA,NA,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Pathotroph,Animal Pathogen,NA,NA,NA,NA,NA,0,Ascomycota,Eurotiomycetes,Eurotiales,NA,NA
Otu3197,Ascomycota,Eurotiomycetes,Eurotiales,NA,NA,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Pathotroph,Animal Pathogen,NA,NA,NA,NA,NA,0.01,Ascomycota,Eurotiomycetes,Eurotiales,NA,NA
Otu3376,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Pathotroph,Plant Pathogen,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,0.71,Ascomycota,Eurotiomycetes,Eurotiales,NA,NA
Otu3430,Ascomycota,Eurotiomycetes,Eurotiales,NA,NA,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Talaromyces,Saprotroph,Undefined Saprotroph,Ascomycota,Eurotiomycetes,Eurotiales,NA,NA,0.18,Ascomycota,Eurotiomycetes,Eurotiales,NA,NA
Otu258,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Saprotroph,Undefined Saprotroph,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,0.05,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus
Otu1269,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Saprotroph,Undefined Saprotroph,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,0.57,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus
Otu1450,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Saprotroph,Undefined Saprotroph,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,0.8,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus
Otu192,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,Pathotroph-Saprotroph-Symbiotroph,Animal Pathogen-Endophyte-Epiphyte-Fungal Parasite-Plant Pathogen-Wood Saprotroph,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,0.39,Ascomycota,Sordariomycetes,Hypocreales,NA,NA
Otu1984,Ascomycota,Sordariomycetes,Hypocreales,NA,NA,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,Claviceps,Pathotroph,Plant Pathogen,Ascomycota,Sordariomycetes,Hypocreales,NA,NA,0.56,Ascomycota,Sordariomycetes,Hypocreales,NA,NA
Otu2693,Ascomycota,Sordariomycetes,Hypocreales,NA,NA,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,Pathotroph-Saprotroph-Symbiotroph,Animal Pathogen-Endophyte-Epiphyte-Fungal Parasite-Plant Pathogen-Wood Saprotroph,NA,NA,NA,NA,NA,0.06,Ascomycota,Sordariomycetes,Hypocreales,NA,NA
Otu2843,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,Pathotroph-Saprotroph-Symbiotroph,Animal Pathogen-Endophyte-Epiphyte-Fungal Parasite-Plant Pathogen-Wood Saprotroph,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,0.5,Ascomycota,Sordariomycetes,Hypocreales,NA,NA
Otu2716,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,NA,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,Pathotroph-Saprotroph-Symbiotroph,Animal Pathogen-Endophyte-Epiphyte-Fungal Parasite-Plant Pathogen-Wood Saprotroph,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,NA,0.03,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,NA
Otu1393,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Podospora,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Jugulospora,Saprotroph,Undefined Saprotroph,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Podospora,0.91,Ascomycota,Sordariomycetes,Sordariales,NA,NA
Otu1774,Ascomycota,Sordariomycetes,Sordariales,NA,NA,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Corynascella,Saprotroph,Undefined Saprotroph,Ascomycota,NA,NA,NA,NA,0.16,Ascomycota,Sordariomycetes,Sordariales,NA,NA
Otu2436,Ascomycota,Sordariomycetes,Sordariales,NA,NA,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Corynascella,Saprotroph,Undefined Saprotroph,NA,NA,NA,NA,NA,0.4,Ascomycota,Sordariomycetes,Sordariales,NA,NA
Otu2882,Ascomycota,Sordariomycetes,Sordariales,NA,NA,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Corynascella,Saprotroph,Undefined Saprotroph,Ascomycota,Sordariomycetes,NA,NA,NA,0.25,Ascomycota,Sordariomycetes,Sordariales,NA,NA
Otu42,Ascomycota,Sordariomycetes,Sordariales,Sordariaceae,NA,Ascomycota,Sordariomycetes,Sordariales,Sordariaceae,Sordaria,Saprotroph,Dung Saprotroph,Ascomycota,Sordariomycetes,Sordariales,Sordariaceae,NA,0.6,Ascomycota,Sordariomycetes,Sordariales,Sordariaceae,NA
Otu3370,Ascomycota,Sordariomycetes,Ophiostomatales,Ophiostomataceae,Ophiostoma,Ascomycota,Sordariomycetes,Ophiostomatales,Ophiostomataceae,Ophiostoma,Pathotroph,Plant Pathogen,Ascomycota,Sordariomycetes,Ophiostomatales,Ophiostomataceae,NA,0.18,Ascomycota,Sordariomycetes,Ophiostomatales,Ophiostomataceae,Ophiostoma
Otu448,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,Pathotroph-Symbiotroph,Endophyte-Plant Pathogen,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,NA,0.14,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum
Otu1727,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,Pathotroph-Symbiotroph,Endophyte-Plant Pathogen,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,0.46,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum
Otu519,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,Pathotroph-Saprotroph-Symbiotroph,Animal Pathogen-Endophyte-Plant Pathogen-Wood Saprotroph,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,0.16,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria
Otu2595,Ascomycota,Sordariomycetes,Microascales,Halosphaeriaceae,Monodictys,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Allophaeosphaeria,0,0,NA,NA,NA,NA,NA,0.13,Ascomycota,Sordariomycetes,Microascales,Halosphaeriaceae,Monodictys
Otu3393,Ascomycota,Dothideomycetes,Capnodiales,Teratosphaeriaceae,Batcheloromyces,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Zymoseptoria,0,0,Ascomycota,NA,NA,NA,NA,0.06,Ascomycota,Dothideomycetes,Capnodiales,Teratosphaeriaceae,Batcheloromyces
Otu857,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Capronia,Ascomycota,Eurotiomycetes,Chaetothyriales,Cyphellophoraceae,Cyphellophora,Pathotroph-Saprotroph,Animal Pathogen-Undefined Saprotroph,Ascomycota,Eurotiomycetes,Chaetothyriales,NA,NA,0.02,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Capronia
Otu2984,Ascomycota,Dothideomycetes,Pleosporales,NA,Aaosphaeria,Ascomycota,Dothideomycetes,Pleosporales,Thyridariaceae,Parathyridaria,0,0,Ascomycota,NA,NA,NA,NA,0.26,Ascomycota,Dothideomycetes,Pleosporales,NA,Aaosphaeria
Otu2452,Ascomycota,Eurotiomycetes,Chaetothyriales,NA,Strelitziana,Ascomycota,Eurotiomycetes,Chaetothyriales,Trichomeriaceae,Knufia,Pathotroph,Lichen Parasite,Ascomycota,Eurotiomycetes,Chaetothyriales,NA,NA,0.23,Ascomycota,Eurotiomycetes,Chaetothyriales,NA,Strelitziana
Otu645,Ascomycota,Pezizomycetes,Pezizales,NA,Coprotus,Ascomycota,Eurotiomycetes,Coryneliales,Coryneliaceae,Caliciopsis,Pathotroph,Plant Pathogen,NA,NA,NA,NA,NA,0,Ascomycota,Pezizomycetes,Pezizales,NA,Coprotus
Otu89,Ascomycota,Orbiliomycetes,Orbiliales,Orbiliaceae,Orbilia,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Candida,Pathotroph,Animal Pathogen,Ascomycota,Orbiliomycetes,Orbiliales,Orbiliaceae,Orbilia,0.01,Ascomycota,Orbiliomycetes,Orbiliales,Orbiliaceae,Orbilia
Otu839,Ascomycota,Orbiliomycetes,Orbiliales,Orbiliaceae,Orbilia,Ascomycota,Orbiliomycetes,Orbiliales,Orbiliaceae,Arthrobotrys,Saprotroph,Undefined Saprotroph,NA,NA,NA,NA,NA,0.05,Ascomycota,Orbiliomycetes,Orbiliales,Orbiliaceae,Orbilia
Otu849,Ascomycota,Orbiliomycetes,Orbiliales,Orbiliaceae,Orbilia,Ascomycota,Orbiliomycetes,Orbiliales,Orbiliaceae,Arthrobotrys,Saprotroph,Undefined Saprotroph,NA,NA,NA,NA,NA,0.17,Ascomycota,Orbiliomycetes,Orbiliales,Orbiliaceae,Orbilia
Otu2013,Ascomycota,Orbiliomycetes,Orbiliales,Orbiliaceae,Orbilia,Ascomycota,Orbiliomycetes,Orbiliales,Orbiliaceae,Arthrobotrys,Saprotroph,Undefined Saprotroph,Ascomycota,Orbiliomycetes,Orbiliales,Orbiliaceae,Orbilia,0,Ascomycota,Orbiliomycetes,Orbiliales,Orbiliaceae,Orbilia
Otu2432,Ascomycota,Orbiliomycetes,Orbiliales,Orbiliaceae,Orbilia,Ascomycota,Orbiliomycetes,Orbiliales,Orbiliaceae,Arthrobotrys,Saprotroph,Undefined Saprotroph,Ascomycota,Orbiliomycetes,Orbiliales,Orbiliaceae,Orbilia,0.02,Ascomycota,Orbiliomycetes,Orbiliales,Orbiliaceae,Orbilia
Otu2784,Ascomycota,Orbiliomycetes,Orbiliales,Orbiliaceae,Orbilia,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Candida,Pathotroph,Animal Pathogen,Ascomycota,Orbiliomycetes,Orbiliales,Orbiliaceae,Orbilia,0.01,Ascomycota,Orbiliomycetes,Orbiliales,Orbiliaceae,Orbilia
Otu3257,Ascomycota,Orbiliomycetes,Orbiliales,Orbiliaceae,Orbilia,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Candida,Pathotroph,Animal Pathogen,Ascomycota,Orbiliomycetes,Orbiliales,Orbiliaceae,Orbilia,0.04,Ascomycota,Orbiliomycetes,Orbiliales,Orbiliaceae,Orbilia
Otu431,Ascomycota,Dothideomycetes,Pleosporales,Didymosphaeriaceae,Neokalmusia,Ascomycota,Dothideomycetes,Pleosporales,Didymosphaeriaceae,Pseudocamarosporium,0,0,Ascomycota,NA,NA,NA,NA,0.23,Ascomycota,Dothideomycetes,Pleosporales,Didymosphaeriaceae,Neokalmusia
Otu607,Ascomycota,Dothideomycetes,Pleosporales,Didymosphaeriaceae,Neokalmusia,Ascomycota,Dothideomycetes,Pleosporales,Didymosphaeriaceae,Pseudocamarosporium,0,0,Ascomycota,Dothideomycetes,Pleosporales,NA,NA,0.77,Ascomycota,Dothideomycetes,Pleosporales,Didymosphaeriaceae,Neokalmusia
Otu2022,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Paraphoma,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Parastagonospora,0,0,NA,NA,NA,NA,NA,0.01,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Paraphoma
Otu252,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Setophoma,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Setophoma,0,0,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Setophoma,0.99,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Setophoma
Otu695,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Setophoma,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Setophoma,0,0,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Setophoma,0.71,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Setophoma
Otu110,Ascomycota,Arthoniomycetes,Lichenostigmatales,Phaeococcomycetaceae,Phaeococcomyces,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium,Pathotroph,Plant Pathogen,Ascomycota,NA,NA,NA,NA,0.05,Ascomycota,Arthoniomycetes,Lichenostigmatales,Phaeococcomycetaceae,Phaeococcomyces
Otu153,Ascomycota,Arthoniomycetes,Lichenostigmatales,Phaeococcomycetaceae,Phaeococcomyces,Ascomycota,Eurotiomycetes,Chaetothyriales,Cyphellophoraceae,Cyphellophora,Pathotroph-Saprotroph,Animal Pathogen-Undefined Saprotroph,Ascomycota,Lecanoromycetes,NA,NA,NA,0.15,Ascomycota,Arthoniomycetes,Lichenostigmatales,Phaeococcomycetaceae,Phaeococcomyces
Otu175,Ascomycota,Arthoniomycetes,Lichenostigmatales,Phaeococcomycetaceae,Phaeococcomyces,Ascomycota,Eurotiomycetes,Sclerococcales,Dactylosporaceae,Sclerococcum,Pathotroph-Symbiotroph,Lichen Parasite-Lichenized,NA,NA,NA,NA,NA,0,Ascomycota,Arthoniomycetes,Lichenostigmatales,Phaeococcomycetaceae,Phaeococcomyces
Otu1407,Ascomycota,Arthoniomycetes,Lichenostigmatales,Phaeococcomycetaceae,Phaeococcomyces,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Exophiala,Pathotroph,Animal Pathogen,Ascomycota,NA,NA,NA,NA,0.35,Ascomycota,Arthoniomycetes,Lichenostigmatales,Phaeococcomycetaceae,Phaeococcomyces
Otu1916,Ascomycota,Arthoniomycetes,Lichenostigmatales,Phaeococcomycetaceae,Phaeococcomyces,Ascomycota,Eurotiomycetes,Mycocaliciales,Mycocaliciaceae,Mycocalicium,Symbiotroph,Lichenized,NA,NA,NA,NA,NA,0,Ascomycota,Arthoniomycetes,Lichenostigmatales,Phaeococcomycetaceae,Phaeococcomyces
Otu2702,Ascomycota,Arthoniomycetes,Lichenostigmatales,Phaeococcomycetaceae,Phaeococcomyces,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium,Pathotroph,Plant Pathogen,NA,NA,NA,NA,NA,0.07,Ascomycota,Arthoniomycetes,Lichenostigmatales,Phaeococcomycetaceae,Phaeococcomyces
Otu3303,Ascomycota,Arthoniomycetes,Lichenostigmatales,Phaeococcomycetaceae,Phaeococcomyces,Ascomycota,Eurotiomycetes,Sclerococcales,Dactylosporaceae,Sclerococcum,Pathotroph-Symbiotroph,Lichen Parasite-Lichenized,NA,NA,NA,NA,NA,0.01,Ascomycota,Arthoniomycetes,Lichenostigmatales,Phaeococcomycetaceae,Phaeococcomyces
Otu3311,Ascomycota,Arthoniomycetes,Lichenostigmatales,Phaeococcomycetaceae,Phaeococcomyces,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium,Pathotroph,Plant Pathogen,Ascomycota,NA,NA,NA,NA,0.29,Ascomycota,Arthoniomycetes,Lichenostigmatales,Phaeococcomycetaceae,Phaeococcomyces
Otu1035,Ascomycota,Orbiliomycetes,Orbiliales,Orbiliaceae,Arthrobotrys,Ascomycota,Orbiliomycetes,Orbiliales,Orbiliaceae,Arthrobotrys,Saprotroph,Undefined Saprotroph,NA,NA,NA,NA,NA,0.18,Ascomycota,Orbiliomycetes,Orbiliales,Orbiliaceae,Arthrobotrys
Otu2377,Ascomycota,Orbiliomycetes,Orbiliales,Orbiliaceae,Arthrobotrys,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Candida,Pathotroph,Animal Pathogen,Ascomycota,Orbiliomycetes,Orbiliales,Orbiliaceae,NA,0.14,Ascomycota,Orbiliomycetes,Orbiliales,Orbiliaceae,Arthrobotrys
