Otu,Phylum.consensus,Class.consensus,Order.consensus,Family.consensus,Genus.consensus,Phylum-TBAS,Class-TBAS,Order-TBAS,Family-TBAS,Genus-TBAS,Trophic mode,Guild,Phylum.unite,Class.unite,Order.unite,Family.unite,Genus.unite,confidence.unite,Phylum.ncbi,Class.ncbi,Order.ncbi,Family.ncbi,Genus.ncbi
Otu2822,Ascomycota,Orbiliomycetes,Orbiliales,Orbiliaceae,Arthrobotrys,Ascomycota,Pezizomycetes,Pezizales,Sarcoscyphaceae,Sarcoscypha,0,0,Ascomycota,Orbiliomycetes,Orbiliales,Orbiliaceae,NA,0.39,Ascomycota,Orbiliomycetes,Orbiliales,Orbiliaceae,Arthrobotrys
Otu2699,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Lopadostoma,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Xylaria,Saprotroph,Undefined Saprotroph,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Hypocopra,0.97,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Lopadostoma
Otu1054,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Cladophialophora,Ascomycota,Dothideomycetes,Dothideales,Aureobasidiaceae,Aureobasidium,Pathotroph,Plant Pathogen,Ascomycota,NA,NA,NA,NA,0.04,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Cladophialophora
Otu1980,Ascomycota,Eurotiomycetes,Chaetothyriales,NA,Strelitziana,Ascomycota,Eurotiomycetes,Sclerococcales,Dactylosporaceae,Sclerococcum,Pathotroph-Symbiotroph,Lichen Parasite-Lichenized,Ascomycota,NA,NA,NA,NA,0.01,Ascomycota,Eurotiomycetes,Chaetothyriales,NA,Strelitziana
Otu149,Ascomycota,Dothideomycetes,Pleosporales,Teichosporaceae,Teichospora,Ascomycota,Dothideomycetes,Pleosporales,Teichosporaceae,Teichospora,Saprotroph,Undefined Saprotroph,Ascomycota,Dothideomycetes,Pleosporales,NA,NA,0.34,Ascomycota,Dothideomycetes,Pleosporales,Teichosporaceae,Teichospora
Otu608,Ascomycota,Dothideomycetes,Pleosporales,Teichosporaceae,Teichospora,Ascomycota,Dothideomycetes,Pleosporales,Teichosporaceae,Teichospora,Saprotroph,Undefined Saprotroph,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Sclerostagonospora,0.06,Ascomycota,Dothideomycetes,Pleosporales,Teichosporaceae,Teichospora
Otu670,Ascomycota,Dothideomycetes,Pleosporales,Teichosporaceae,Teichospora,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Comoclathris,Saprotroph,Undefined Saprotroph,NA,NA,NA,NA,NA,0.04,Ascomycota,Dothideomycetes,Pleosporales,Teichosporaceae,Teichospora
Otu779,Ascomycota,Dothideomycetes,Pleosporales,Teichosporaceae,Teichospora,Ascomycota,Dothideomycetes,Pleosporales,Teichosporaceae,Teichospora,Saprotroph,Undefined Saprotroph,Ascomycota,Dothideomycetes,Pleosporales,Teichosporaceae,Teichospora,0.8,Ascomycota,Dothideomycetes,Pleosporales,Teichosporaceae,Teichospora
Otu2116,Ascomycota,Dothideomycetes,Pleosporales,Teichosporaceae,Teichospora,Ascomycota,Dothideomycetes,Pleosporales,Teichosporaceae,Teichospora,Saprotroph,Undefined Saprotroph,Ascomycota,Dothideomycetes,Pleosporales,NA,NA,0.51,Ascomycota,Dothideomycetes,Pleosporales,Teichosporaceae,Teichospora
Otu3023,Ascomycota,Dothideomycetes,Pleosporales,Teichosporaceae,Teichospora,Ascomycota,Dothideomycetes,Pleosporales,Teichosporaceae,Teichospora,Saprotroph,Undefined Saprotroph,Ascomycota,Dothideomycetes,Pleosporales,NA,NA,0.3,Ascomycota,Dothideomycetes,Pleosporales,Teichosporaceae,Teichospora
