Range,OTU,read.abund,Class,Order,Family,Genus
Introduced,otu2720,1,Sordariomycetes,Pleurotheciales,Pleurotheciaceae,Adelosphaeria
Native,otu2721,1,Dothideomycetes,Pleosporales,Didymellaceae,Neoascochyta
Introduced,otu2722,1,Eurotiomycetes,Chaetothyriales,unclassified,unclassified
Native,otu2723,2,Dothideomycetes,Pleosporales,unclassified,Hobus
Native,otu2724,11,Dothideomycetes,Pleosporales,Didymellaceae,Neoascochyta
Introduced,otu2726,3,Dothideomycetes,Pleosporales,Biatriosporaceae,Biatriospora
Native,otu2727,1,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Kluyveromyces
Shared,otu2732,1,Sordariomycetes,Hypocreales,unclassified,Sarocladium
Native,otu2733,35,Dothideomycetes,unclassified,Kirschsteiniotheliaceae,Kirschsteiniothelia
Native,otu2734,3,Lecanoromycetes,Teloschistales,Teloschistaceae,Rusavskia
Native,otu2737,118,Dothideomycetes,Pleosporales,Arthopyreniaceae,Arthopyrenia
Shared,otu2738,1,Dothideomycetes,Pleosporales,Pleosporaceae,Paradendryphiella
Shared,otu2739,1,Dothideomycetes,Capnodiales,unclassified,unclassified
Shared,otu2740,1,Dothideomycetes,Capnodiales,Neodevriesiaceae,Neodevriesia
Shared,otu2741,29,Pezizomycetes,Pezizales,Ascobolaceae,Ascobolus
Shared,otu2742,1,Orbiliomycetes,Orbiliales,Orbiliaceae,Arthrobotrys
Introduced,otu2744,1,Dothideomycetes,Capnodiales,Teratosphaeriaceae,Acrodontium
Introduced,otu2745,1,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Phaeosphaeria
Introduced,otu2749,7,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Parastagonospora
Introduced,otu2750,1,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Cladophialophora
Introduced,otu2753,1,Dothideomycetes,Pleosporales,Trematosphaeriaceae,Trematosphaeria
Introduced,otu2758,1,Pezizomycetes,Pezizales,Pezizaceae,Ascobolus
Introduced,otu2760,1,Saccharomycetes,Saccharomycetales,Dipodascaceae,Yarrowia
Shared,otu2761,1,Neolectomycetes,Neolectales,Neolectaceae,Neolecta
Introduced,otu2762,1,Sordariomycetes,Xylariales,Xylariaceae,Nemania
Introduced,otu2763,3,Dothideomycetes,Abrothallales,Abrothallaceae,Abrothallus
Introduced,otu2764,5,Dothideomycetes,Pleosporales,Didymosphaeriaceae,Pseudocamarosporium
Introduced,otu2768,1,Dothideomycetes,Dothideales,Dothideaceae,Dothidea
Introduced,otu2772,1,unclassified,unclassified,unclassified,Saitoella
Introduced,otu2775,3,Dothideomycetes,Pleosporales,Lentitheciaceae,Murilentithecium
Shared,otu2777,1,Sordariomycetes,Hypocreales,Cordycipitaceae,Simplicillium
Introduced,otu2778,3,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria
Introduced,otu2780,3,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium
Introduced,otu2783,2,Lecanoromycetes,Lecanorales,Ramalinaceae,Bacidia
Native,otu279,1,Neolectomycetes,Neolectales,Neolectaceae,Neolecta
Native,otu287,5,Lecanoromycetes,Lecanorales,Malmideaceae,Zhurbenkoa
Shared,otu29,1,Dothideomycetes,Botryosphaeriales,Botryosphaeriaceae,Macrophomina
Introduced,otu296,1,Sordariomycetes,Hypocreales,Clavicipitaceae,Pochonia
Native,otu298,2,Dothideomycetes,Botryosphaeriales,Botryosphaeriaceae,Diplodia
Introduced,otu3,2,Dothideomycetes,Dothideales,Dothideaceae,Stylodothis
Shared,otu30,36,Sordariomycetes,Hypocreales,unclassified,Acremonium
Native,otu305,4,Dothideomycetes,Dothideales,Aureobasidiaceae,Aureobasidium
Shared,otu312,3,Eurotiomycetes,Chaetothyriales,Cyphellophoraceae,Cyphellophora
Introduced,otu314,19,Dothideomycetes,Pleosporales,Didymosphaeriaceae,Pseudocamarosporium
Introduced,otu315,1,Dothideomycetes,Capnodiales,unclassified,unclassified
Introduced,otu316,2,Dothideomycetes,Trypetheliales,Trypetheliaceae,Trypethelium
Introduced,otu317,2,Sordariomycetes,Xylariales,Amphisphaeriaceae,Lepteutypa
Introduced,otu321,2,Sordariomycetes,Pleurotheciales,Pleurotheciaceae,Pleurothecium
Introduced,otu33,7,Sordariomycetes,Lulworthiales,Lulworthiaceae,Lindra
Introduced,otu330,4,Dothideomycetes,Abrothallales,Abrothallaceae,Abrothallus
Native,otu333,50,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Septoriella
Shared,otu336,1,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria
Shared,otu339,1,Eurotiomycetes,Mycocaliciales,Mycocaliciaceae,Mycocalicium
Introduced,otu34,3,Sordariomycetes,Atractosporales,Atractosporaceae,Rubellisphaeria
Introduced,otu341,1,Neolectomycetes,Neolectales,Neolectaceae,Neolecta
Shared,otu346,1,Pezizomycetes,Pezizales,Pezizaceae,Peziza
Shared,otu348,1,Leotiomycetes,Phacidiales,Phacidiaceae,Phacidium
Introduced,otu35,1,Dothideomycetes,Botryosphaeriales,Aplosporellaceae,Aplosporella
Native,otu350,2,Dothideomycetes,Botryosphaeriales,Saccharataceae,Saccharata
Introduced,otu351,1,Lecanoromycetes,Teloschistales,Teloschistaceae,Xanthomendoza
Native,otu352,7,Sordariomycetes,Sordariales,Cephalothecaceae,Phialemonium
Introduced,otu355,1,Sordariomycetes,Hypocreales,Clavicipitaceae,Conoideocrella
Shared,otu359,1,Sordariomycetes,Hypocreales,Ophiocordycipitaceae,Ophiocordyceps
Introduced,otu365,1,Pezizomycetes,Pezizales,Pezizaceae,Ascobolus
Native,otu368,3,Eurotiomycetes,Verrucariales,Verrucariaceae,Wahlenbergiella
Introduced,otu370,6,Dothideomycetes,Pleosporales,Thyridariaceae,Parathyridaria
Shared,otu371,1,Dothideomycetes,Botryosphaeriales,Botryosphaeriaceae,Sphaeropsis
Introduced,otu375,2,Dothideomycetes,Trypetheliales,Trypetheliaceae,Trypethelium
Introduced,otu377,1,Dothideomycetes,Pleosporales,Didymosphaeriaceae,Pseudocamarosporium
Introduced,otu38,16,Leotiomycetes,Helotiales,Hemiphacidiaceae,Rhabdocline
Shared,otu39,1,Sordariomycetes,Hypocreales,Ophiocordycipitaceae,Ophiocordyceps
Shared,otu40,1,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Meyerozyma
Introduced,otu443,2,Dothideomycetes,Dothideales,Aureobasidiaceae,Aureobasidium
Shared,otu45,2,Dothideomycetes,Pleosporales,Teichosporaceae,Teichospora
Introduced,otu451,1,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Meyerozyma
Introduced,otu461,1,Sordariomycetes,Xylariales,Amphisphaeriaceae,Lepteutypa
Shared,otu462,4,Dothideomycetes,Pleosporales,Pleosporaceae,Comoclathris
Introduced,otu47,3,Sordariomycetes,Atractosporales,Atractosporaceae,Atractospora
Shared,otu470,2,Dothideomycetes,Pleosporales,Arthopyreniaceae,Arthopyrenia
Shared,otu471,7,Dothideomycetes,Jahnulales,Aliquandostipitaceae,Jahnula
Introduced,otu472,2,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus
Native,otu474,104,Dothideomycetes,Pleosporales,Trematosphaeriaceae,Trematosphaeria
Introduced,otu476,4,Sordariomycetes,Hypocreales,Cordycipitaceae,Simplicillium
Shared,otu479,37,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Cladophialophora
Shared,otu48,1,Dothideomycetes,Pleosporales,Teichosporaceae,Teichospora
Introduced,otu487,5,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Meyerozyma
Introduced,otu489,3,Dothideomycetes,Pleosporales,Didymosphaeriaceae,Pseudocamarosporium
Introduced,otu49,1,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Septoriella
Shared,otu492,2,Dothideomycetes,Capnodiales,unclassified,Neodevriesia
Introduced,otu50,3,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Meyerozyma
Introduced,otu514,2,Pezizomycetes,Pezizales,Pyronemataceae,Paurocotylis
Shared,otu519,1,Dothideomycetes,Valsariales,Valsariaceae,Myrmaecium
Shared,otu52,1,Dothideomycetes,Pleosporales,Pleosporaceae,Exserohilum
Shared,otu523,1,Pezizomycetes,Pezizales,Pezizaceae,Ascobolus
Native,otu526,2,Lecanoromycetes,Arctomiales,Arctomiaceae,Gregorella
Introduced,otu53,1,Dothideomycetes,Capnodiales,unclassified,unclassified
Introduced,otu57,3,Dothideomycetes,Pleosporales,Pleosporaceae,Curvularia
Introduced,otu58,3,Dothideomycetes,Pleosporales,unclassified,Pseudochaetosphaeronema
Shared,otu59,5,Dothideomycetes,Capnodiales,unclassified,unclassified
Shared,otu6,4,Orbiliomycetes,Orbiliales,Orbiliaceae,Arthrobotrys
Native,otu61,1,Eurotiomycetes,Chaetothyriales,Trichomeriaceae,Knufia
Introduced,otu63,1,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Meyerozyma
Introduced,otu65,1,Dothideomycetes,Pleosporales,Thyridariaceae,Parathyridaria
Shared,otu662,1,Leotiomycetes,Rhytismatales,Phacidiaceae,Phacidium
Shared,otu665,2,Dothideomycetes,Capnodiales,Neodevriesiaceae,Neodevriesia
Introduced,otu667,2,Lecanoromycetes,Teloschistales,Teloschistaceae,Xanthomendoza
Introduced,otu668,17,Eurotiomycetes,Chaetothyriales,Trichomeriaceae,Knufia
Shared,otu67,2,Dothideomycetes,Pleosporales,unclassified,Falciformispora
Shared,otu672,2,Dothideomycetes,Jahnulales,Aliquandostipitaceae,Jahnula
Native,otu687,1,Dothideomycetes,Capnodiales,Neodevriesiaceae,Neodevriesia
Introduced,otu703,1,Leotiomycetes,Rhytismatales,Rhytismataceae,Lophodermium
Introduced,otu705,1,Dothideomycetes,Capnodiales,Neodevriesiaceae,Neodevriesia
Native,otu706,1,Dothideomycetes,Venturiales,Sympoventuriaceae,Ochroconis
Native,otu708,2,Lecanoromycetes,Lecanorales,Ramalinaceae,Bacidia
Native,otu712,3,Sordariomycetes,Hypocreales,Stachybotryaceae,Striatibotrys
Native,otu718,1,Eurotiomycetes,Verrucariales,Verrucariaceae,Staurothele
Introduced,otu72,8,Eurotiomycetes,Eurotiales,Trichocomaceae,Talaromyces
Introduced,otu720,1,Orbiliomycetes,Orbiliales,Orbiliaceae,Arthrobotrys
Native,otu726,1,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Septoriella
Introduced,otu73,2,Dothideomycetes,Pleosporales,Teichosporaceae,Teichospora
Shared,otu731,1,Neolectomycetes,Neolectales,Neolectaceae,Neolecta
Native,otu748,3,Sordariomycetes,Hypocreales,Clavicipitaceae,Metarhizium
Introduced,otu75,1,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Exophiala
Introduced,otu751,1,Pezizomycetes,Pezizales,Pezizaceae,Peziza
Introduced,otu773,3,Dothideomycetes,Mytilinidiales,Mytilinidiaceae,Mytilinidion
Shared,otu783,1,Dothideomycetes,Jahnulales,Aliquandostipitaceae,Jahnula
Shared,otu79,32,Pezizomycetes,Pezizales,Pezizaceae,Ascobolus
Shared,otu791,2,Sordariomycetes,Sordariales,Sordariaceae,Neurospora
Shared,otu792,3,Sordariomycetes,Hypocreales,Clavicipitaceae,Hypocrella
Shared,otu795,1,Dothideomycetes,Dothideales,Aureobasidiaceae,Aureobasidium
Introduced,otu796,2,Dothideomycetes,Capnodiales,unclassified,unclassified
Introduced,otu800,1,Sordariomycetes,Glomerellales,Plectosphaerellaceae,Verticillium
Shared,otu848,2,Dothideomycetes,Pleosporales,Pleosporaceae,Paradendryphiella
Shared,otu88,1,Dothideomycetes,Capnodiales,Neodevriesiaceae,Neodevriesia
Shared,otu89,1,Lecanoromycetes,Peltigerales,Leprocaulaceae,Speerschneidera
Shared,otu90,3,Dothideomycetes,Abrothallales,Abrothallaceae,Abrothallus
Shared,otu92,2,Dothideomycetes,Trypetheliales,Trypetheliaceae,Trypethelium
Introduced,otu96,2,Dothideomycetes,Valsariales,Valsariaceae,Valsaria
